 Code,Guam,NH Oki,Oki MEU,3rd MLG,NH Yoko,Rota,Napl,Sig,NMCP,Jax,Gitmo,NHCL,2nd MLG,2nd MEU,CBIRF,NMCSD,NH 29P,NH Pend,1st MLG,1st MEU
401,7,8,9,10,11,12,13,14,1,5,15,2,3,4,16,6,17,18,19,20
402,4,6,7,8,9,2,1,3,10,11,5,12,13,14,15,16,17,18,19,20
403,3,4,9,10,11,12,13,14,8,1,15,6,16,17,18,7,5,2,19,20
404,6,7,8,9,5,4,10,11,1,12,13,3,14,15,16,2,17,18,19,20
405,6,7,8,9,10,11,12,13,1,14,15,3,16,17,18,2,19,20,5,4
406,9,10,11,12,13,14,1,15,5,2,16,3,17,8,7,6,18,4,19,20
407,10,5,6,7,4,8,9,11,3,1,2,12,13,14,15,16,17,18,19,20
408,3,4,5,6,7,8,9,10,1,11,12,2,13,14,15,16,17,18,19,20
409,3,4,5,6,7,8,9,10,2,11,12,13,14,15,16,1,17,18,19,20
410,5,6,7,8,9,10,11,12,1,13,14,4,15,16,17,2,18,19,3,20
411,8,6,9,7,10,11,12,13,14,15,16,2,3,1,17,18,19,20,5,4
412,1,2,3,4,5,6,7,8,9,3,10,6,4,5,11,12,13,9,8,7
413,9,10,4,5,11,12,13,14,15,8,16,2,3,1,17,18,19,20,7,6
414,2,3,4,5,6,7,8,9,10,1,11,12,13,14,15,16,17,18,19,20
415,7,8,9,10,11,12,6,13,14,1,15,16,17,18,2,19,3,20,4,5
416,8,9,10,11,12,13,14,15,5,1,16,2,7,17,18,6,4,3,19,20
417,9,10,11,12,13,6,5,7,3,2,14,15,16,17,18,1,8,4,19,20
418,7,8,9,10,11,4,6,12,13,5,2,14,15,16,17,18,3,1,19,20
419,6,7,8,9,5,10,11,12,3,4,13,14,15,16,17,1,18,2,19,20
420,2,3,4,5,6,7,8,9,10,1,11,12,13,14,15,16,17,18,19,20
421,8,9,10,11,12,13,14,15,6,5,16,7,17,18,19,1,20,2,3,4
422,1,6,7,8,4,9,10,11,12,2,13,14,15,16,17,5,18,3,19,20
423,7,8,9,10,11,12,13,14,4,1,15,5,16,17,18,2,6,3,19,20
424,7,8,9,10,11,12,13,14,1,3,15,4,16,17,18,2,6,5,19,20
425,6,7,8,9,10,11,12,13,5,2,14,15,16,17,1,3,18,4,19,20
426,5,6,7,8,9,10,4,11,12,2,13,14,15,16,17,1,18,3,19,20
427,3,4,5,6,7,8,9,10,1,11,12,2,13,14,15,16,17,18,19,20
428,7,8,9,10,11,5,6,12,2,1,13,3,14,15,16,4,17,18,19,20
429,8,9,4,2,10,11,7,12,13,14,15,16,6,5,17,18,19,20,1,3
430,5,6,7,8,9,10,11,12,1,2,13,14,15,16,17,3,18,4,19,20
431,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1,4,2,3
432,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,3,2,1,4,5
433,6,7,8,9,10,11,12,13,5,2,14,15,16,17,18,4,3,1,19,20
434,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,2,5,3,4,1
435,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,3,1,2
436,5,6,7,8,9,10,1,2,3,11,12,13,14,15,16,17,18,4,19,20
437,3,4,5,6,7,8,9,10,2,11,12,13,14,15,16,1,17,18,19,20
438,6,8,9,10,7,3,4,5,1,2,11,12,13,14,15,16,17,18,19,20
439,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,4,20,2,1,3
440,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,3,4,20,2,1
441,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,4,3,2,1
442,6,7,8,9,10,11,12,13,1,3,4,2,14,15,5,16,17,18,19,20
443,8,9,10,11,12,13,14,15,5,4,16,3,17,18,19,1,7,2,20,6
444,7,8,9,10,11,12,13,14,1,5,15,4,3,2,16,6,17,18,19,20
445,7,8,9,10,11,12,13,14,5,6,15,16,17,18,19,3,4,20,1,2
446,2,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
447,6,7,8,9,10,11,12,13,5,1,14,3,15,16,17,2,18,4,19,20
448,9,10,11,12,13,14,15,16,5,1,8,17,18,19,7,6,20,4,2,3
449,5,6,7,8,9,10,11,12,2,1,13,4,14,15,16,3,17,18,19,20
450,1,3,10,7,2,13,14,15,16,4,17,18,9,12,19,6,20,5,8,11
451,7,8,9,10,11,12,13,14,3,4,15,5,16,17,18,1,6,2,19,20
