command_id,officer_id,preference,command_name,billet_count_max,officer_tag
201,401,58,NH Guam,1,xvxe
201,402,30,NH Guam,1,kobl
201,403,15,NH Guam,1,x0qi
201,404,40,NH Guam,1,pd7n
201,405,2,NH Guam,1,87cl
201,406,17,NH Guam,1,m8w6
201,407,53,NH Guam,1,wnaf
201,408,59,NH Guam,1,as5q
201,409,5,NH Guam,1,pb8x
201,410,14,NH Guam,1,5t8r
201,411,25,NH Guam,1,2tb7
201,412,45,NH Guam,1,9aa1
201,413,6,NH Guam,1,5sjg
201,414,3,NH Guam,1,k1lv
201,415,46,NH Guam,1,cn7q
201,416,34,NH Guam,1,1qhj
201,417,18,NH Guam,1,s9l6
201,418,4,NH Guam,1,bakn
201,419,20,NH Guam,1,pt9y
201,420,27,NH Guam,1,paed
201,421,50,NH Guam,1,zaif
201,422,33,NH Guam,1,h8pg
201,423,61,NH Guam,1,vqdq
201,424,57,NH Guam,1,d6hs
201,425,60,NH Guam,1,tb5t
201,426,16,NH Guam,1,d2nz
201,427,49,NH Guam,1,9je3
201,428,13,NH Guam,1,vzno
201,429,32,NH Guam,1,85i6
201,430,39,NH Guam,1,zkff
201,431,1,NH Guam,1,6ust
201,432,7,NH Guam,1,785o
201,433,55,NH Guam,1,6zmz
201,434,24,NH Guam,1,525l
201,435,37,NH Guam,1,cbku
201,436,28,NH Guam,1,0cot
201,437,56,NH Guam,1,ojoz
201,438,35,NH Guam,1,tun2
201,439,41,NH Guam,1,ob7u
201,440,9,NH Guam,1,27vk
201,441,48,NH Guam,1,ovvy
201,442,26,NH Guam,1,bqrp
201,443,44,NH Guam,1,yocg
201,444,52,NH Guam,1,yk8a
201,445,23,NH Guam,1,fg86
201,446,19,NH Guam,1,wfv3
201,447,22,NH Guam,1,goed
201,448,47,NH Guam,1,nkql
201,449,38,NH Guam,1,lptr
201,450,51,NH Guam,1,2w56
201,451,29,NH Guam,1,fjh2
201,452,10,NH Guam,1,lsg3
201,453,62,NH Guam,1,lgds
201,454,12,NH Guam,1,jp1a
201,455,54,NH Guam,1,zs4z
201,456,11,NH Guam,1,0izt
201,457,31,NH Guam,1,7-Jun
201,458,43,NH Guam,1,jmhn
201,459,8,NH Guam,1,zpzj
201,460,36,NH Guam,1,q5lj
201,461,42,NH Guam,1,rzj1
201,462,21,NH Guam,1,hw3p
202,401,5,WRNMMC,0,xvxe
202,402,56,WRNMMC,0,kobl
202,403,51,WRNMMC,0,x0qi
202,404,15,WRNMMC,0,pd7n
202,405,8,WRNMMC,0,87cl
202,406,20,WRNMMC,0,m8w6
202,407,19,WRNMMC,0,wnaf
202,408,9,WRNMMC,0,as5q
202,409,27,WRNMMC,0,pb8x
202,410,17,WRNMMC,0,5t8r
202,411,61,WRNMMC,0,2tb7
202,412,43,WRNMMC,0,9aa1
202,413,22,WRNMMC,0,5sjg
202,414,3,WRNMMC,0,k1lv
202,415,57,WRNMMC,0,cn7q
202,416,23,WRNMMC,0,1qhj
202,417,35,WRNMMC,0,s9l6
202,418,18,WRNMMC,0,bakn
202,419,28,WRNMMC,0,pt9y
202,420,49,WRNMMC,0,paed
202,421,30,WRNMMC,0,zaif
202,422,40,WRNMMC,0,h8pg
202,423,59,WRNMMC,0,vqdq
202,424,32,WRNMMC,0,d6hs
202,425,53,WRNMMC,0,tb5t
202,426,48,WRNMMC,0,d2nz
202,427,16,WRNMMC,0,9je3
202,428,55,WRNMMC,0,vzno
202,429,46,WRNMMC,0,85i6
202,430,31,WRNMMC,0,zkff
202,431,13,WRNMMC,0,6ust
202,432,60,WRNMMC,0,785o
202,433,44,WRNMMC,0,6zmz
202,434,14,WRNMMC,0,525l
202,435,21,WRNMMC,0,cbku
202,436,4,WRNMMC,0,0cot
202,437,54,WRNMMC,0,ojoz
202,438,34,WRNMMC,0,tun2
202,439,26,WRNMMC,0,ob7u
202,440,42,WRNMMC,0,27vk
202,441,7,WRNMMC,0,ovvy
202,442,62,WRNMMC,0,bqrp
202,443,2,WRNMMC,0,yocg
202,444,39,WRNMMC,0,yk8a
202,445,50,WRNMMC,0,fg86
202,446,10,WRNMMC,0,wfv3
202,447,38,WRNMMC,0,goed
202,448,24,WRNMMC,0,nkql
202,449,29,WRNMMC,0,lptr
202,450,41,WRNMMC,0,2w56
202,451,6,WRNMMC,0,fjh2
202,452,45,WRNMMC,0,lsg3
202,453,12,WRNMMC,0,lgds
202,454,33,WRNMMC,0,jp1a
202,455,11,WRNMMC,0,zs4z
202,456,1,WRNMMC,0,0izt
202,457,47,WRNMMC,0,7-Jun
202,458,58,WRNMMC,0,jmhn
202,459,37,WRNMMC,0,zpzj
202,460,52,WRNMMC,0,q5lj
202,461,36,WRNMMC,0,rzj1
202,462,25,WRNMMC,0,hw3p
203,401,44,Lejeune MEU,2,xvxe
203,402,53,Lejeune MEU,2,kobl
203,403,5,Lejeune MEU,2,x0qi
203,404,28,Lejeune MEU,2,pd7n
203,405,14,Lejeune MEU,2,87cl
203,406,8,Lejeune MEU,2,m8w6
203,407,4,Lejeune MEU,2,wnaf
203,408,21,Lejeune MEU,2,as5q
203,409,51,Lejeune MEU,2,pb8x
203,410,13,Lejeune MEU,2,5t8r
203,411,18,Lejeune MEU,2,2tb7
203,412,39,Lejeune MEU,2,9aa1
203,413,57,Lejeune MEU,2,5sjg
203,414,46,Lejeune MEU,2,k1lv
203,415,45,Lejeune MEU,2,cn7q
203,416,3,Lejeune MEU,2,1qhj
203,417,55,Lejeune MEU,2,s9l6
203,418,50,Lejeune MEU,2,bakn
203,419,54,Lejeune MEU,2,pt9y
203,420,19,Lejeune MEU,2,paed
203,421,56,Lejeune MEU,2,zaif
203,422,7,Lejeune MEU,2,h8pg
203,423,35,Lejeune MEU,2,vqdq
203,424,33,Lejeune MEU,2,d6hs
203,425,34,Lejeune MEU,2,tb5t
203,426,15,Lejeune MEU,2,d2nz
203,427,62,Lejeune MEU,2,9je3
203,428,22,Lejeune MEU,2,vzno
203,429,2,Lejeune MEU,2,85i6
203,430,27,Lejeune MEU,2,zkff
203,431,10,Lejeune MEU,2,6ust
203,432,24,Lejeune MEU,2,785o
203,433,52,Lejeune MEU,2,6zmz
203,434,25,Lejeune MEU,2,525l
203,435,16,Lejeune MEU,2,cbku
203,436,41,Lejeune MEU,2,0cot
203,437,31,Lejeune MEU,2,ojoz
203,438,1,Lejeune MEU,2,tun2
203,439,59,Lejeune MEU,2,ob7u
203,440,23,Lejeune MEU,2,27vk
203,441,37,Lejeune MEU,2,ovvy
203,442,20,Lejeune MEU,2,bqrp
203,443,11,Lejeune MEU,2,yocg
203,444,38,Lejeune MEU,2,yk8a
203,445,61,Lejeune MEU,2,fg86
203,446,26,Lejeune MEU,2,wfv3
203,447,12,Lejeune MEU,2,goed
203,448,49,Lejeune MEU,2,nkql
203,449,30,Lejeune MEU,2,lptr
203,450,43,Lejeune MEU,2,2w56
203,451,29,Lejeune MEU,2,fjh2
203,452,58,Lejeune MEU,2,lsg3
203,453,48,Lejeune MEU,2,lgds
203,454,6,Lejeune MEU,2,jp1a
203,455,17,Lejeune MEU,2,zs4z
203,456,36,Lejeune MEU,2,0izt
203,457,9,Lejeune MEU,2,7-Jun
203,458,60,Lejeune MEU,2,jmhn
203,459,47,Lejeune MEU,2,zpzj
203,460,40,Lejeune MEU,2,q5lj
203,461,42,Lejeune MEU,2,rzj1
203,462,32,Lejeune MEU,2,hw3p
204,401,32,Lejeune MLG,2,xvxe
204,402,52,Lejeune MLG,2,kobl
204,403,26,Lejeune MLG,2,x0qi
204,404,41,Lejeune MLG,2,pd7n
204,405,8,Lejeune MLG,2,87cl
204,406,15,Lejeune MLG,2,m8w6
204,407,7,Lejeune MLG,2,wnaf
204,408,45,Lejeune MLG,2,as5q
204,409,24,Lejeune MLG,2,pb8x
204,410,16,Lejeune MLG,2,5t8r
204,411,61,Lejeune MLG,2,2tb7
204,412,12,Lejeune MLG,2,9aa1
204,413,62,Lejeune MLG,2,5sjg
204,414,14,Lejeune MLG,2,k1lv
204,415,44,Lejeune MLG,2,cn7q
204,416,55,Lejeune MLG,2,1qhj
204,417,20,Lejeune MLG,2,s9l6
204,418,36,Lejeune MLG,2,bakn
204,419,21,Lejeune MLG,2,pt9y
204,420,17,Lejeune MLG,2,paed
204,421,46,Lejeune MLG,2,zaif
204,422,29,Lejeune MLG,2,h8pg
204,423,13,Lejeune MLG,2,vqdq
204,424,18,Lejeune MLG,2,d6hs
204,425,57,Lejeune MLG,2,tb5t
204,426,58,Lejeune MLG,2,d2nz
204,427,2,Lejeune MLG,2,9je3
204,428,38,Lejeune MLG,2,vzno
204,429,56,Lejeune MLG,2,85i6
204,430,34,Lejeune MLG,2,zkff
204,431,5,Lejeune MLG,2,6ust
204,432,30,Lejeune MLG,2,785o
204,433,43,Lejeune MLG,2,6zmz
204,434,35,Lejeune MLG,2,525l
204,435,33,Lejeune MLG,2,cbku
204,436,27,Lejeune MLG,2,0cot
204,437,28,Lejeune MLG,2,ojoz
204,438,10,Lejeune MLG,2,tun2
204,439,31,Lejeune MLG,2,ob7u
204,440,59,Lejeune MLG,2,27vk
204,441,53,Lejeune MLG,2,ovvy
204,442,4,Lejeune MLG,2,bqrp
204,443,42,Lejeune MLG,2,yocg
204,444,3,Lejeune MLG,2,yk8a
204,445,22,Lejeune MLG,2,fg86
204,446,1,Lejeune MLG,2,wfv3
204,447,37,Lejeune MLG,2,goed
204,448,49,Lejeune MLG,2,nkql
204,449,51,Lejeune MLG,2,lptr
204,450,54,Lejeune MLG,2,2w56
204,451,47,Lejeune MLG,2,fjh2
204,452,60,Lejeune MLG,2,lsg3
204,453,9,Lejeune MLG,2,lgds
204,454,25,Lejeune MLG,2,jp1a
204,455,40,Lejeune MLG,2,zs4z
204,456,48,Lejeune MLG,2,0izt
204,457,6,Lejeune MLG,2,7-Jun
204,458,19,Lejeune MLG,2,jmhn
204,459,11,Lejeune MLG,2,zpzj
204,460,50,Lejeune MLG,2,q5lj
204,461,23,Lejeune MLG,2,rzj1
204,462,39,Lejeune MLG,2,hw3p
205,401,10,NHCL,3,xvxe
205,402,23,NHCL,3,kobl
205,403,5,NHCL,3,x0qi
205,404,4,NHCL,3,pd7n
205,405,40,NHCL,3,87cl
205,406,52,NHCL,3,m8w6
205,407,8,NHCL,3,wnaf
205,408,44,NHCL,3,as5q
205,409,12,NHCL,3,pb8x
205,410,58,NHCL,3,5t8r
205,411,15,NHCL,3,2tb7
205,412,46,NHCL,3,9aa1
205,413,19,NHCL,3,5sjg
205,414,62,NHCL,3,k1lv
205,415,53,NHCL,3,cn7q
205,416,33,NHCL,3,1qhj
205,417,49,NHCL,3,s9l6
205,418,60,NHCL,3,bakn
205,419,47,NHCL,3,pt9y
205,420,56,NHCL,3,paed
205,421,32,NHCL,3,zaif
205,422,57,NHCL,3,h8pg
205,423,2,NHCL,3,vqdq
205,424,21,NHCL,3,d6hs
